(56, 38, 23, 'entropy', 'weighted', 'log2') -0.04125681570338074
(95, 44, 28, 'entropy', 'weighted', 'log2') -0.041282679738562214
(38, 28, 40, 'entropy', 'weighted', 'log2') -0.04129340989882425
(10, 37, 25, 'gini', 'weighted', 'log2') -0.0412990196078431
(109, 13, 14, 'entropy', 'weighted', 'sqrt') -0.041308929561841394
(118, 29, None, 'gini', 'weighted', 'log2') -0.04131134133042544
(82, 36, 26, 'entropy', 'weighted', 'log2') -0.041444112047865085
(46, 16, 22, 'gini', 'weighted', 'log2') -0.04147291042744361
(18, 45, 15, 'entropy', 'weighted', 'sqrt') -0.04150979325353656
(128, 33, 24, 'gini', 'weighted', 'sqrt') -0.041595860566448976
(116, 28, 18, 'entropy', 'weighted', 'log2') -0.04170711753476963
(59, 37, 13, 'entropy', 'weighted', 'log2') -0.041709774026681294
(106, 42, 11, 'gini', 'weighted', 'log2') -0.04180059929174625
(114, 39, 33, 'entropy', 'weighted', 'sqrt') -0.041843894479195155
(20, 31, 36, 'entropy', 'weighted', 'log2') -0.041928629801144236
(38, 15, 31, 'gini', 'weighted', 'log2') -0.04197982001636216
(125, 44, 11, 'gini', 'weighted', 'log2') -0.042014153511159565
(12, 21, 33, 'gini', 'weighted', 'sqrt') -0.04214578214578224
(30, 10, 22, 'entropy', 'weighted', 'sqrt') -0.04217854217854227
(40, 22, 25, 'gini', 'weighted', 'sqrt') -0.042241662110442946
(108, 43, 15, 'gini', 'weighted', 'sqrt') -0.042245901639344344
(12, 15, 29, 'gini', 'weighted', 'sqrt') -0.04226877040261152
(20, 14, 19, 'gini', 'weighted', 'sqrt') -0.04229426433915216
(33, 43, 30, 'entropy', 'weighted', 'log2') -0.04234298197706178
(113, 8, 20, 'gini', 'weighted', 'sqrt') -0.042368565169770125
(120, 35, 34, 'entropy', 'weighted', 'sqrt') -0.04240119923684935
(101, 24, 37, 'gini', 'weighted', 'log2') -0.042607152607152754
(31, 46, 32, 'gini', 'weighted', 'log2') -0.04266067538126373
(144, 40, 29, 'entropy', 'weighted', 'log2') -0.042670485542826084
(92, 37, 23, 'gini', 'weighted', 'log2') -0.04275034106412016
(147, 42, 33, 'gini', 'weighted', 'log2') -0.04281011969532114
(138, 35, 10, 'entropy', 'weighted', 'sqrt') -0.04281284004352568
(148, 33, 25, 'entropy', 'weighted', 'sqrt') -0.04290726135436512
(124, 34, 28, 'gini', 'weighted', 'log2') -0.04291700680272124
(123, 25, 13, 'entropy', 'weighted', 'sqrt') -0.04301500682128247
(66, 31, 16, 'entropy', 'weighted', 'log2') -0.043065832426550675
(113, 39, 27, 'entropy', 'weighted', 'sqrt') -0.04307043785694876
(70, 27, None, 'entropy', 'weighted', 'log2') -0.043289724720632444
(40, 30, 26, 'entropy', 'weighted', 'log2') -0.04329793028322453
(33, 31, 37, 'entropy', 'weighted', 'log2') -0.04329868708971564
